ID,EIGENAAR,TURBINE/PARKNAAM,kW,N.Br.-GE,O.L.-GE
911,de Clerck,4 elementen,660,52.567068,5.572298
2015,Evelop,Afrikahaven,3000,52.426519,4.73977
2016,Evelop,Afrikahaven,3000,52.42406,4.738911
2017,Evelop,Afrikahaven,3000,52.419323,4.738554
2018,Evelop,Afrikahaven,3000,52.416831,4.739311
2019,Evelop,Afrikahaven,3000,52.414361,4.740046
2020,Evelop,Afrikahaven,3000,52.411892,4.740795
2021,Evelop,Afrikahaven,3000,52.408448,4.745824
2022,Evelop,Afrikahaven,3000,52.407811,4.750786
946,WGH-0,Amsterdam-Hemweg,660,52.415219,4.825242
947,WGH-1,Amsterdam-Hemweg,660,52.412583,4.826032
948,WGH-2,Amsterdam-Hemweg,660,52.410328,4.828442
949,WGH-3,Amsterdam-Hemweg,660,52.408659,4.831803
950,WGH-4,Amsterdam-Hemweg,660,52.407085,4.835332
951,WGH-4a,Amsterdam-Hemweg,660,52.405159,4.839636
952,WGH-5,Amsterdam-Hemweg,660,52.40324,4.843928
953,WGH,Amsterdam-Hemweg,660,52.401648,4.847944
938,WGH,Amsterdam-Noordzeeweg,660,52.400295,4.801595
939,WGH,Amsterdam-Noordzeeweg,660,52.39798,4.802588
940,WGH,Amsterdam-Noordzeeweg,660,52.39582,4.803994
941,WGH,Amsterdam-Noordzeeweg,660,52.393781,4.806028
942,WGH,Amsterdam-Noordzeeweg,660,52.391989,4.808696
943,WGH,Amsterdam-Noordzeeweg,660,52.390613,4.811946
944,WGH,Amsterdam-Noordzeeweg,660,52.389688,4.815325
945,WGH,Amsterdam-Noordzeeweg,660,52.389178,4.819466
925,WGH-1,Amsterdam-Sloterdijk,660,52.392431,4.773011
926,WGH-2,Amsterdam-Sloterdijk,660,52.394915,4.774119
927,WGH-3,Amsterdam-Sloterdijk,660,52.397404,4.775226
930,WGH-4,Amsterdam-Sloterdijk,660,52.399891,4.776335
1832,WGH,Amsterdam-Westpoort,3000,52.422737,4.792036
1833,WGH,Amsterdam-Westpoort,3000,52.407538,4.800063
1834,WGH,Amsterdam-Westpoort,3000,52.410768,4.800046
1836,WGH,Amsterdam-Westpoort,3000,52.414276,4.800025
1231,Andijkerwind bv,Andijk,850,52.726444,5.183342
1232,Andijkerwind bv,Andijk,850,52.727222,5.186577
1233,Andijkerwind bv,Andijk,850,52.728391,5.190569
1983,Eneco,Anna-Vosdijkpolder,3000,51.607256,4.053652
1984,Eneco,Anna-Vosdijkpolder,3000,51.608489,4.059096
1985,Eneco,Anna-Vosdijkpolder,3000,51.609672,4.064353
1986,Eneco,Anna-Vosdijkpolder,3000,51.610863,4.069643
1987,Eneco,Anna-Vosdijkpolder,3000,51.612071,4.075012
1163,v.Deursen,Appelvinkweg,850,52.373607,5.484677
1164,Verweel,Appelvinkweg,850,52.369498,5.499403
1247,Steyn,Appelvinkweg,900,52.385727,5.490898
1248,van Vliet,Appelvinkweg,900,52.376671,5.491825
1346,van Vliet,Appelvinkweg,1000,52.371629,5.480184
1352,vd Burg-1,Appelvinkweg,950,52.378501,5.489675
906,AvdMeer,Baardmeesweg,660,52.366206,5.513101
907,DvdMeer,Baardmeesweg,660,52.369374,5.51784
1165,Ventus Ubique,Baardmeesweg,850,52.377712,5.530289
1376,Menkveld,Baardmeesweg,950,52.374411,5.525356
1381,Schouten,Baardmeesweg,950,52.381031,5.535242
1433,Beabuorren,Beabuorren,1300,53.047669,5.488806
1434,Beabuorren,Beabuorren,1300,53.049776,5.491092
1435,Beabuorren,Beabuorren,1300,53.051881,5.493373
1436,Beabuorren,Beabuorren,1300,53.053992,5.495652
1437,Beabuorren,Beabuorren,1300,53.056087,5.497935
1438,Beabuorren,Beabuorren,1300,53.058201,5.500235
2166,Beabuorren,Beabuorren,1300,53.045564,5.486521
2167,Beabuorren,Beabuorren,1300,53.043455,5.484235
1145,Mc-Lean-Grr,Bloesemlaan,850,52.333951,5.429688
1149,Bloesemlaan-Woudenb,Bloesemlaan,850,52.342176,5.448784
1150,Bloesemlaan-v. Schaik,Bloesemlaan,850,52.348118,5.45245
1151,Bloesemlaan-Kampen,Bloesemlaan,850,52.344838,5.454793
1152,Bloesemlaan-Roelofs,Bloesemlaan,850,52.350535,5.458023
1153,Bloesemlaan,Bloesemlaan,850,52.346963,5.462433
1154,Bloesemlaan-4,Bloesemlaan,850,52.349324,5.467956
1155,Bloesemlaan-9,Bloesemlaan,850,52.355375,5.469254
1156,Bloesemlaan,Bloesemlaan,850,52.351701,5.473468
1159,Bloesemlaan-v. Wijk,Bloesemlaan,850,52.353974,5.47876
1243,Bloesemlaan-Timmer,Bloesemlaan,900,52.337794,5.438589
1244,Bloesemlaan-Hoving,Bloesemlaan,900,52.353001,5.463745
1309,v. Ekeren,Bloesemlaan,1000,52.334656,5.419963
1317,Bloesemlaan,Bloesemlaan,1000,52.434083,5.43574
1322,Bloesemlaan,Bloesemlaan,1000,52.343645,5.440841
1323,Wijnstekers-2,Bloesemlaan,1000,52.339078,5.441587
1312,v. Ekeren,Bloesemlaan,1000,52.331367,5.423702
1314,v. Ekeren,Bloesemlaan,1000,52.33266,5.426691
1315,v. Ekeren,Bloesemlaan,1000,52.335239,5.432655
1162,Maanen,Bloesemlaan,850,52.357874,5.484619
2191,WCI,Boekelermeer,2300,52.605194,4.758585
1861,EPZ-3,Borsele,2750,51.437939,3.713587
1862,EPZ-2,Borsele,2750,51.4356,3.717696
236,SBWN,Borssele,160,51.443479,3.695032
238,SBWN,Borssele,160,51.441005,3.699378
240,SBWN,Borssele,160,51.438714,3.70341
242,SBWN,Borssele,160,51.436388,3.707532
1025,Sloewind,Borssele,750,51.444025,3.693922
1026,Sloewind,Borssele,750,51.442852,3.696122
1027,Sloewind,Borssele,750,51.441607,3.698311
1028,Sloewind,Borssele,750,51.440432,3.700383
1029,Sloewind,Borssele,750,51.439283,3.702397
1030,Sloewind,Borssele,750,51.438135,3.704424
1031,Sloewind,Borssele,750,51.436986,3.706437
1032,Sloewind,Borssele,750,51.435776,3.708567
954,Deltan-2,Borssele-Olaz,660,51.445428,3.740257
955,Deltan-3,Borssele-Olaz,660,51.444168,3.740638
956,Zeeuwind,Borssele-Olaz,660,51.440325,3.741435
957,Zeeuwind,Borssele-Olaz,660,51.442299,3.743102
958,Deltan,Borssele-Olaz,660,51.444387,3.744193
1147,Mantingh,Bosruiterweg,850,52.326081,5.432287
1148,Ramshorst,Bosruiterweg,850,52.329591,5.43953
1306,Hellinga-1,Bosruiterweg,950,52.324113,5.41654
1311,Hellinga-2,Bosruiterweg,950,52.326446,5.422474
1829,BP-NW,BP,3000,52.421031,4.774851
1830,BP-M,BP,3000,52.417185,4.776843
1831,BP-ZO,BP,3000,52.412275,4.779624
2169,Evelop/Kenn/Part,Burgervlotbrug,850,52.757044,4.684674
2170,Evelop/Kenn/Part,Burgervlotbrug,850,52.758741,4.686034
2171,Evelop/Kenn/Part,Burgervlotbrug,850,52.76048,4.687435
2172,Evelop/Kenn/Part,Burgervlotbrug,850,52.762222,4.688833
2173,Evelop/Kenn/Part,Burgervlotbrug,850,52.763954,4.690216
2174,Evelop/Kenn/Part,Burgervlotbrug,850,52.765692,4.691617
2175,Evelop/Kenn/Part,Burgervlotbrug,850,52.767424,4.693019
2176,Evelop/Kenn/Part,Burgervlotbrug,850,52.769158,4.694417
2177,Evelop/Kenn/Part,Burgervlotbrug,850,52.770903,4.695812
1736,NUON-1,Culemborg,2000,51.935824,5.192106
1737,NUON-2,Culemborg,2000,51.935174,5.195831
1738,NUON-3,Culemborg,2000,51.934909,5.19987
1671,Windvogel,De Amstelvogel,2000,52.288245,4.941873
2405,Laaksche Vaart,De Beemden,3000,52.8287,4.832024
