startdatetime,enddatetime,breezeid,pl,lat,lon,height
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,1,98,51.331914,5.136648,100
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,3,68,51.75030425,4.22836525,80
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,4,61,,,
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,5,125,51.38325544,4.265265125,75
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,6,14,52.58751133,4.224107,59
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,7,20,52.41770344,4.741628222,80
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,10,72,51.60919742,4.59145438,105
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,11,79,52.0192577,5.1422661,105
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,12,129,,,
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,13,131,,,
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,14,69,51.41663754,4.230893529,80
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,15,22,51.98841737,4.961300733,80
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,16,37,52.6470792,4.7937719,85
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,17,18,51.61346689,4.473129593,80
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,18,74,51.62229,4.655683,105
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,19,99,52.01705,5.121864,105
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,20,73,51.61482,4.599115,105
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,21,100,51.67193,4.398243,105
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,22,95,52.40462442,4.16296186,80
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,23,96,53.31768895,6.983228421,78.5
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,27,7,51.76283,4.2063,60
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,28,122,,,
 2017-12-04 00:00:00 , 0000-00-00 00:00:00 ,29,15,51.60936,4.064853,80
